Agency,City,State,NTD ID,Organization Type,Reporter Type,Report Year,UACE Code,UZA Name,Primary UZA Population,Agency VOMS,Mode,Mode Name,TOS,Mode VOMS,Vehicle Operations,Vehicle Operations Questionable,Vehicle Maintenance,Vehicle Maintenance Questionable,Facility Maintenance,Facility Maintenance Questionable,General Administration,General Administration Questionable,Reduced Reporter Expenses,Reduced Reporter Expenses Questionable,Total,Total Questionable,Purchased Transportation Reported Separately,Purchased Transportation Reported Separately Questionable
Greater Attleboro-Taunton Regional Transit Authority,Taunton,MA,10064,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,72505,"Providence, RI--MA",1285806,104,DR,Demand Response,PT,70,5935108,,793956,,115439,,3259021,,0,,10103524,,0,
Greater Attleboro-Taunton Regional Transit Authority,Taunton,MA,10064,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,72505,"Providence, RI--MA",1285806,104,MB,Bus,PT,34,5238450,,925880,,189056,,1702914,,0,,8056300,,0,
South Central Illinois Mass Transit District,Centralia,IL,50327,Independent Public Agency or Authority of Transit Service,Rural Reporter,2022,,,,104,MB,Bus,DO,14,0,,0,,0,,0,,1621194,,1621194,,0,
"Pennyrile Allied Community Services, Inc.",Hopkinsville,KY,40953,Private-Non-Profit Corporation,Rural Reporter,2022,,,,102,DR,Demand Response,DO,96,0,,0,,0,,0,,4740324,,4740324,,0,
"Pennyrile Allied Community Services, Inc.",Hopkinsville,KY,40953,Private-Non-Profit Corporation,Rural Reporter,2022,,,,102,MB,Bus,DO,6,0,,0,,0,,0,,561895,,561895,,0,
El Paso County,El Paso,TX,60179,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,27253,"El Paso, TX--NM",854584,100,VP,Vanpool,PT,83,0,,0,,0,,0,,1310753,,1310753,,0,
Transit Authority of Omaha,Omaha,NE,70002,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,65269,"Omaha, NE--IA",819508,100,MB,Bus,DO,75,19754300,,4848986,,1371439,,6383636,,0,,32358361,,0,
Stanislaus Regional Transit Authority,Modesto,CA,90306,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,58006,"Modesto, CA",357301,100,MB,Bus,PT,65,15131111,,2502382,,633280,,5807312,,0,,24074085,,0,
Stanislaus Regional Transit Authority,Modesto,CA,90306,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,58006,"Modesto, CA",357301,100,DR,Demand Response,PT,30,3940603,,505946,,8990,,1250149,,0,,5705688,,0,
Transit Authority of Omaha,Omaha,NE,70002,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,65269,"Omaha, NE--IA",819508,100,DR,Demand Response,DO,25,2736425,,282049,,32518,,204473,,0,,3255465,,0,
El Paso County,El Paso,TX,60179,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,27253,"El Paso, TX--NM",854584,100,CB,Commuter Bus,PT,17,0,,0,,0,,0,,3803586,,3803586,,0,
Stanislaus Regional Transit Authority,Modesto,CA,90306,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,58006,"Modesto, CA",357301,100,CB,Commuter Bus,PT,5,782695,,220528,,53118,,376936,,0,,1433277,,0,
Virginia Railway Express,Alexandria,VA,30073,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,92242,"Washington--Arlington, DC--VA--MD",5174759,99,CR,Commuter Rail,PT,99,38207234,,15151636,,3803455,,25172106,,0,,82334431,,0,
Connecticut Department of Transportation - CTTRANSIT New Haven Division,Hartford,CT,10055,State Government Unit or Department of Transportation,Full Reporter,2022,62407,"New Haven, CT",561456,99,MB,Bus,DO,99,34129272,,10191028,,2003718,,7132311,,0,,53456329,,0,
Penquis Community Action Program,Bangor,ME,10134,Private-Non-Profit Corporation,Reduced Reporter,2022,4951,"Bangor, ME",61539,99,DR,Demand Response,DO,99,0,,0,,0,,0,,23227978,,23227978,,0,
Worcester Regional Transit Authority,Worcester,MA,10014,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,97291,"Worcester, MA--CT",482085,99,MB,Bus,DO,47,13404190,,4700419,,1066534,,5086652,,0,,24257795,,0,
Worcester Regional Transit Authority,Worcester,MA,10014,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,97291,"Worcester, MA--CT",482085,99,DR,Demand Response,PT,32,1401838,,87471,,64276,,757850,,0,,2311435,,0,
Worcester Regional Transit Authority,Worcester,MA,10014,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,97291,"Worcester, MA--CT",482085,99,DR,Demand Response,DO,10,1326120,,206373,,53336,,566072,,0,,2151901,,0,
Worcester Regional Transit Authority,Worcester,MA,10014,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,97291,"Worcester, MA--CT",482085,99,DR,Demand Response,TX,10,393711,,52580,,30833,,476388,,0,,953512,,0,
Upper-Cumberland Human Resource Agency,Cookeville,TN,40978,Independent Public Agency or Authority of Transit Service,Rural Reporter,2022,,,,98,DR,Demand Response,DO,82,0,,0,,0,,0,,6792519,,6792519,,0,
Roaring Fork Transportation Authority,Glenwood Springs,CO,80289,Independent Public Agency or Authority of Transit Service,Rural Reporter,2022,,,,98,MB,Bus,DO,37,0,,0,,0,,0,,13830151,,13830151,,0,
Roaring Fork Transportation Authority,Glenwood Springs,CO,80289,Independent Public Agency or Authority of Transit Service,Rural Reporter,2022,,,,98,CB,Commuter Bus,DO,32,0,,0,,0,,0,,18852798,,18852798,,0,
Roaring Fork Transportation Authority,Glenwood Springs,CO,80289,Independent Public Agency or Authority of Transit Service,Rural Reporter,2022,,,,98,RB,Bus Rapid Transit,DO,22,0,,0,,0,,0,,12391068,,12391068,,0,
Upper-Cumberland Human Resource Agency,Cookeville,TN,40978,Independent Public Agency or Authority of Transit Service,Rural Reporter,2022,,,,98,MB,Bus,DO,16,0,,0,,0,,0,,1325370,,1325370,,0,
Roaring Fork Transportation Authority,Glenwood Springs,CO,80289,Independent Public Agency or Authority of Transit Service,Rural Reporter,2022,,,,98,DR,Demand Response,DO,7,0,,0,,0,,0,,1116142,,1116142,,0,
Laketran,Painesville,OH,50117,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,17668,"Cleveland, OH",1712178,96,DR,Demand Response,DO,64,7751797,,1284585,,329018,,1730744,,0,,11096144,,0,
Whatcom Transportation Authority,Bellingham,WA,21,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,6652,"Bellingham, WA",128979,96,MB,Bus,DO,47,18406591,,3643418,,1447897,,5763245,,0,,29261151,,0,
Whatcom Transportation Authority,Bellingham,WA,21,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,6652,"Bellingham, WA",128979,96,DR,Demand Response,DO,41,9957805,,1011029,,288691,,2939080,,0,,14196605,,0,
Laketran,Painesville,OH,50117,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,17668,"Cleveland, OH",1712178,96,MB,Bus,DO,19,4373439,,657568,,321297,,1064696,,0,,6417000,,0,
Laketran,Painesville,OH,50117,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,17668,"Cleveland, OH",1712178,96,CB,Commuter Bus,DO,13,1061288,,200324,,35460,,147490,,0,,1444562,,0,
Whatcom Transportation Authority,Bellingham,WA,21,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,6652,"Bellingham, WA",128979,96,VP,Vanpool,DO,8,43797,,36795,,11818,,51985,,0,,144395,,0,
SunLine Transit Agency,Thousand Palms,CA,90079,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,41347,"Indio--Palm Desert--Palm Springs, CA",361075,95,MB,Bus,DO,60,14679966,,4588801,,1038222,,13458489,,0,,33765478,,0,
"City of Colorado Springs, dba: Mountain Metropolitan Transit",Colorado Springs,CO,80005,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,18856,"Colorado Springs, CO",632494,95,MB,Bus,PT,52,13861472,,3092298,,2631970,,4827005,,0,,24412745,,0,
"Lexington Transit Authority, dba: Lextran",Lexington,KY,40017,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,49582,"Lexington-Fayette, KY",315631,95,MB,Bus,DO,49,12523221,,3992818,,977016,,3776114,,0,,21269169,,0,
"Lexington Transit Authority, dba: Lextran",Lexington,KY,40017,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,49582,"Lexington-Fayette, KY",315631,95,DR,Demand Response,PT,38,3639449,,404383,,154450,,876795,,0,,5075077,,0,
"City of Colorado Springs, dba: Mountain Metropolitan Transit",Colorado Springs,CO,80005,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,18856,"Colorado Springs, CO",632494,95,DR,Demand Response,PT,32,2948779,,470567,,271967,,2728722,,0,,6420035,,0,
SunLine Transit Agency,Thousand Palms,CA,90079,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,41347,"Indio--Palm Desert--Palm Springs, CA",361075,95,DR,Demand Response,DO,28,3950546,,911517,,217456,,960049,,0,,6039568,,0,
"Lexington Transit Authority, dba: Lextran",Lexington,KY,40017,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,49582,"Lexington-Fayette, KY",315631,95,VP,Vanpool,PT,8,41332,,3495,,663,,43670,,0,,89160,,0,
SunLine Transit Agency,Thousand Palms,CA,90079,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,41347,"Indio--Palm Desert--Palm Springs, CA",361075,95,VP,Vanpool,PT,7,55289,,5710,,24,,211357,,0,,272380,,0,
"City of Colorado Springs, dba: Mountain Metropolitan Transit",Colorado Springs,CO,80005,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,18856,"Colorado Springs, CO",632494,95,VP,Vanpool,DO,7,31873,,34597,,25034,,123947,,0,,215451,,0,
"City of Colorado Springs, dba: Mountain Metropolitan Transit",Colorado Springs,CO,80005,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,18856,"Colorado Springs, CO",632494,95,DR,Demand Response,TX,4,9996,,291,,837,,9905,,0,,21029,,0,
City of Alexandria,Alexandria,VA,30071,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,92242,"Washington--Arlington, DC--VA--MD",5174759,94,MB,Bus,DO,75,21107708,,4081361,,385843,,4927470,,0,,30502382,,0,
Birmingham-Jefferson County Transit Authority,Birmingham,AL,40042,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,7786,"Birmingham, AL",774956,94,MB,Bus,DO,70,8844829,,4668066,,1951030,,11393930,,0,,26857855,,0,
Birmingham-Jefferson County Transit Authority,Birmingham,AL,40042,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,7786,"Birmingham, AL",774956,94,DR,Demand Response,DO,24,2916981,,1167016,,487758,,2848482,,0,,7420237,,0,
City of Alexandria,Alexandria,VA,30071,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,92242,"Washington--Arlington, DC--VA--MD",5174759,94,DR,Demand Response,PT,19,1398208,,48752,,2078,,245048,,0,,1694086,,0,
"Prince George's County, Maryland, dba: Prince George's County Transit",Upper Marlboro,MD,30085,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,92242,"Washington--Arlington, DC--VA--MD",5174759,93,MB,Bus,PT,65,26376162,,5622049,,123534,,1413966,,0,,33535711,,0,
"Prince George's County, Maryland, dba: Prince George's County Transit",Upper Marlboro,MD,30085,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,92242,"Washington--Arlington, DC--VA--MD",5174759,93,DR,Demand Response,DO,28,2752391,,169881,,58790,,1033751,,0,,4014813,,0,
Minnesota Valley Transit Authority,Burnsville,MN,50519,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,57628,"Minneapolis--St. Paul, MN",2914866,91,MB,Bus,PT,78,8412632,,1911019,,3622193,,15738066,,0,,29683910,,0,
Golden Empire Transit District,Bakersfield,CA,90004,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,4681,"Bakersfield, CA",570235,91,MB,Bus,DO,61,15235956,,5389405,,1441410,,6394085,,0,,28460856,,0,
"The Eastern Contra Costa Transit Authority, dba: Tri Delta Transit",Antioch,CA,90162,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,2683,"Antioch, CA",326205,91,MB,Bus,PT,52,11064319,,3858761,,255723,,5656295,,0,,20835098,,0,
"Lee County Transit, dba: LeeTran",Fort Myers,FL,40028,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,13510,"Cape Coral, FL",599242,91,DR,Demand Response,DO,46,6724897,,648995,,176503,,1137220,,0,,8687615,,0,
"Lee County Transit, dba: LeeTran",Fort Myers,FL,40028,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,13510,"Cape Coral, FL",599242,91,MB,Bus,DO,45,14526461,,1583144,,1086987,,2147060,,0,,19343652,,0,
"City of Durham, dba: GoDurham",Durham,NC,40087,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,25228,"Durham, NC",396118,91,MB,Bus,PT,43,13788220,,3674959,,1622135,,5893179,,0,,24978493,,0,
"City of Durham, dba: GoDurham",Durham,NC,40087,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,25228,"Durham, NC",396118,91,DR,Demand Response,PT,35,3049590,,165609,,108420,,1476453,,0,,4800072,,0,
Golden Empire Transit District,Bakersfield,CA,90004,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,4681,"Bakersfield, CA",570235,91,DR,Demand Response,DO,30,3559095,,195570,,49807,,1749943,,0,,5554415,,0,
"The Eastern Contra Costa Transit Authority, dba: Tri Delta Transit",Antioch,CA,90162,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,2683,"Antioch, CA",326205,91,DR,Demand Response,PT,27,4005618,,248370,,90336,,700599,,0,,5044923,,0,
"City of Durham, dba: GoDurham",Durham,NC,40087,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,25228,"Durham, NC",396118,91,DR,Demand Response,TN,13,244333,,0,,537,,143868,,0,,388738,,0,
Minnesota Valley Transit Authority,Burnsville,MN,50519,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,57628,"Minneapolis--St. Paul, MN",2914866,91,DR,Demand Response,PT,13,774576,,175937,,333406,,1366046,,0,,2649965,,0,
"The Eastern Contra Costa Transit Authority, dba: Tri Delta Transit",Antioch,CA,90162,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,2683,"Antioch, CA",326205,91,DR,Demand Response,TN,12,249582,,18956,,11498,,126898,,0,,406934,,0,
Central Kentucky Community Action Council,Lebanon,KY,41165,Private-Non-Profit Corporation,Rural Reporter,2022,,,,90,DR,Demand Response,DO,90,0,,0,,0,,0,,3110042,,3110042,,0,
"Town of Chapel Hill, dba: Chapel Hill Transit",Chapel Hill,NC,40051,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,25228,"Durham, NC",396118,88,MB,Bus,DO,74,10965534,,2907776,,2026074,,3120614,,0,,19019998,,0,
Mecklenburg County,Charlotte,NC,40228,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,15670,"Charlotte, NC--SC",1379873,88,DR,Demand Response,TX,67,1618626,,548669,,97552,,726989,,0,,2991836,,0,
Centre Area Transportation Authority,State College,PA,30054,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,84493,"State College, PA",83674,88,MB,Bus,DO,56,7726464,,2412709,,551358,,3651384,,0,,14341915,,0,
Antelope Valley Transit Authority,Lancaster,CA,90121,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,67140,"Palmdale--Lancaster, CA",359559,88,MB,Bus,PT,49,10247707,,2290978,,307100,,10640806,,0,,23486591,,0,
"City of Santa Clarita, dba: Santa Clarita Transit",Santa Clarita,CA,90171,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,79309,"Santa Clarita, CA",278031,88,MB,Bus,PT,44,7270100,,1672085,,1578700,,4530768,,0,,15051653,,0,
Monterey-Salinas Transit,Monterey,CA,90062,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,80362,"Seaside--Monterey--Pacific Grove, CA",123495,88,MB,Bus,DO,43,16968063,,4817620,,876380,,10689047,,0,,33351110,,0,
Monterey-Salinas Transit,Monterey,CA,90062,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,80362,"Seaside--Monterey--Pacific Grove, CA",123495,88,DR,Demand Response,PT,29,3850312,,712502,,108617,,1272225,,0,,5943656,,0,
"City of Santa Clarita, dba: Santa Clarita Transit",Santa Clarita,CA,90171,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,79309,"Santa Clarita, CA",278031,88,CB,Commuter Bus,PT,22,1946325,,384276,,362783,,1041165,,0,,3734549,,0,
"City of Santa Clarita, dba: Santa Clarita Transit",Santa Clarita,CA,90171,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,79309,"Santa Clarita, CA",278031,88,DR,Demand Response,PT,22,3069554,,684360,,648451,,2004341,,0,,6406706,,0,
Centre Area Transportation Authority,State College,PA,30054,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,84493,"State College, PA",83674,88,DR,Demand Response,PT,21,1762628,,186999,,39347,,765788,,0,,2754762,,0,
Mecklenburg County,Charlotte,NC,40228,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,15670,"Charlotte, NC--SC",1379873,88,DR,Demand Response,DO,21,1816665,,135557,,22635,,1631208,,0,,3606065,,0,
Antelope Valley Transit Authority,Lancaster,CA,90121,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,67140,"Palmdale--Lancaster, CA",359559,88,CB,Commuter Bus,PT,20,2735362,,401244,,42871,,1840232,,0,,5019709,,0,
Antelope Valley Transit Authority,Lancaster,CA,90121,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,67140,"Palmdale--Lancaster, CA",359559,88,DR,Demand Response,PT,19,789714,,107199,,254541,,1880631,,0,,3032085,,0,
Monterey-Salinas Transit,Monterey,CA,90062,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,80362,"Seaside--Monterey--Pacific Grove, CA",123495,88,MB,Bus,PT,16,2370773,,411345,,198009,,709091,,0,,3689218,,0,
"Town of Chapel Hill, dba: Chapel Hill Transit",Chapel Hill,NC,40051,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,25228,"Durham, NC",396118,88,DR,Demand Response,DO,14,1975723,,585025,,372292,,562831,,0,,3495871,,0,
Centre Area Transportation Authority,State College,PA,30054,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,84493,"State College, PA",83674,88,VP,Vanpool,DO,11,93892,,50767,,12413,,88228,,0,,245300,,0,
"Town of Chapel Hill, dba: Chapel Hill Transit",Chapel Hill,NC,40051,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,25228,"Durham, NC",396118,88,MB,Bus,PT,0,0,,0,,0,,0,,0,,0,,315496,
Capital Area Rural Transportation System (CARTS - RURAL),Cedar Creek,TX,66271,Independent Public Agency or Authority of Transit Service,Rural Reporter,2022,,,,87,DR,Demand Response,DO,51,0,,0,,0,,0,,5147518,,5147518,,0,
Perkins County Public Transit,Grant,NE,70126,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,2,DR,Demand Response,DO,2,0,,0,,0,,0,,70884,,70884,,0,
"City of Montebello, dba: Montebello Bus Lines",Montebello,CA,90041,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,51445,"Los Angeles--Long Beach--Anaheim, CA",12237376,87,MB,Bus,DO,42,13245702,,4788445,,570359,,7417430,,0,,26021936,,0,
"City of Montebello, dba: Montebello Bus Lines",Montebello,CA,90041,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,51445,"Los Angeles--Long Beach--Anaheim, CA",12237376,87,DR,Demand Response,TX,40,148927,,0,,6888,,146950,,0,,302765,,0,
Capital Area Rural Transportation System (CARTS - RURAL),Cedar Creek,TX,66271,Independent Public Agency or Authority of Transit Service,Rural Reporter,2022,,,,87,CB,Commuter Bus,DO,30,0,,0,,0,,0,,1898372,,1898372,,0,
Capital Area Rural Transportation System (CARTS - RURAL),Cedar Creek,TX,66271,Independent Public Agency or Authority of Transit Service,Rural Reporter,2022,,,,87,MB,Bus,DO,6,0,,0,,0,,0,,41861,,41861,,0,
"City of Montebello, dba: Montebello Bus Lines",Montebello,CA,90041,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,51445,"Los Angeles--Long Beach--Anaheim, CA",12237376,87,DR,Demand Response,PT,5,172894,,26786,,24221,,144719,,0,,368620,,0,
Chattanooga Area Regional Transportation Authority,Chattanooga,TN,40001,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,15832,"Chattanooga, TN--GA",398569,86,MB,Bus,DO,64,9259841,,3914250,,765223,,2430166,,0,,16369480,,0,
Santa Cruz Metropolitan Transit District,Santa Cruz,CA,90006,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,79336,"Santa Cruz, CA",169038,86,MB,Bus,DO,51,20364882,,6338417,,2592539,,11992372,,0,,41288210,,0,
"Escambia County Board of County Commissioners, FL, dba: Escambia County Area Transit Authority",Pensacola,FL,40038,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,68482,"Pensacola, FL--AL",390172,86,MB,Bus,DO,45,6187249,,1967588,,242584,,944735,,0,,9342156,,0,
"Escambia County Board of County Commissioners, FL, dba: Escambia County Area Transit Authority",Pensacola,FL,40038,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,68482,"Pensacola, FL--AL",390172,86,DR,Demand Response,PT,41,2743673,,183621,,104235,,1216132,,0,,4247661,,0,
"Brevard Board of County Commissioners, dba: Space Coast Area Transit",Titusville,FL,40063,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,67105,"Palm Bay--Melbourne, FL",510675,86,MB,Bus,DO,35,7317915,,2304549,,244963,,914115,,0,,10781542,,0,
"Brevard Board of County Commissioners, dba: Space Coast Area Transit",Titusville,FL,40063,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,67105,"Palm Bay--Melbourne, FL",510675,86,DR,Demand Response,DO,32,2552512,,809707,,86760,,550509,,0,,3999488,,0,
Santa Cruz Metropolitan Transit District,Santa Cruz,CA,90006,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,79336,"Santa Cruz, CA",169038,86,DR,Demand Response,DO,29,4372492,,264803,,15410,,664087,,0,,5316792,,0,
Chattanooga Area Regional Transportation Authority,Chattanooga,TN,40001,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,15832,"Chattanooga, TN--GA",398569,86,DR,Demand Response,DO,20,2066193,,500500,,70976,,439654,,0,,3077323,,0,
"Brevard Board of County Commissioners, dba: Space Coast Area Transit",Titusville,FL,40063,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,67105,"Palm Bay--Melbourne, FL",510675,86,VP,Vanpool,PT,19,75597,,14820,,4317,,249312,,0,,344046,,0,
Santa Cruz Metropolitan Transit District,Santa Cruz,CA,90006,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,79336,"Santa Cruz, CA",169038,86,CB,Commuter Bus,DO,6,1839589,,503997,,206144,,953569,,0,,3503299,,0,
Chattanooga Area Regional Transportation Authority,Chattanooga,TN,40001,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,15832,"Chattanooga, TN--GA",398569,86,IP,Inclined Plane,DO,2,1052191,,245538,,63831,,929154,,0,,2290714,,0,
"Peninsula Corridor Joint Powers Board, dba: Caltrain",San Carlos,CA,90134,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,78904,"San Francisco--Oakland, CA",3515933,85,CR,Commuter Rail,PT,85,61399565,,29250049,,22888665,,41714860,,0,,155253139,,0,
"City of Lubbock, dba: CITIBUS",Lubbock,TX,60010,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,51877,"Lubbock, TX",272280,85,MB,Bus,DO,60,4916378,,2109575,,208062,,1847770,,0,,9081785,,0,
"Southeast Vermont Transit, Inc",Wilmington,VT,10144,Private-Non-Profit Corporation,Rural Reporter,2022,,,,85,DR,Demand Response,DO,47,0,,0,,0,,0,,3347984,,3347984,,0,
"Southeast Vermont Transit, Inc",Wilmington,VT,10144,Private-Non-Profit Corporation,Rural Reporter,2022,,,,85,MB,Bus,DO,33,0,,0,,0,,0,,3141537,,3141537,,0,
"City of Lubbock, dba: CITIBUS",Lubbock,TX,60010,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,51877,"Lubbock, TX",272280,85,DR,Demand Response,DO,25,2691185,,936350,,149755,,947134,,0,,4724424,,0,
"Southeast Vermont Transit, Inc",Wilmington,VT,10144,Private-Non-Profit Corporation,Rural Reporter,2022,,,,85,CB,Commuter Bus,DO,5,0,,0,,0,,0,,432078,,432078,,0,
Rock Region Metropolitan Transit Authority,North Little Rock,AR,60033,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,50392,"Little Rock, AR",461864,83,MB,Bus,DO,34,7822587,,2920152,,349877,,3542627,,0,,14635243,,0,
Rock Region Metropolitan Transit Authority,North Little Rock,AR,60033,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,50392,"Little Rock, AR",461864,83,DR,Demand Response,DO,28,2352404,,444466,,50117,,629677,,0,,3476664,,0,
Rock Region Metropolitan Transit Authority,North Little Rock,AR,60033,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,50392,"Little Rock, AR",461864,83,VP,Vanpool,PT,10,66569,,56322,,6859,,66485,,0,,196235,,0,
Rock Region Metropolitan Transit Authority,North Little Rock,AR,60033,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,50392,"Little Rock, AR",461864,83,DR,Demand Response,PT,9,479561,,68709,,6689,,127867,,0,,682826,,0,
Rock Region Metropolitan Transit Authority,North Little Rock,AR,60033,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,50392,"Little Rock, AR",461864,83,SR,Streetcar Rail,DO,2,533662,,131249,,41913,,412933,,0,,1119757,,0,
Panhandle Community Services,Amarillo,TX,60192,Independent Public Agency or Authority of Transit Service,Rural Reporter,2022,1927,"Amarillo, TX",205860,82,DR,Demand Response,DO,82,0,,0,,0,,0,,4015116,,4015116,,0,
Brockton Area Transit Authority,Brockton,MA,10004,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,9271,"Boston, MA--NH",4382009,82,MB,Bus,PT,44,6545788,,2227785,,1030489,,2438251,,0,,12242313,,0,
Brockton Area Transit Authority,Brockton,MA,10004,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,9271,"Boston, MA--NH",4382009,82,DR,Demand Response,PT,38,2053510,,264780,,60551,,1564258,,0,,3943099,,0,
"Ada County Highway District, dba: ACHD Commuteride",Boise,ID,415,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,8785,"Boise City, ID",433180,81,VP,Vanpool,DO,81,554577,,123732,,1825,,344028,,0,,1024162,,0,
Tri-Valley Transit Inc,Middlebury,VT,10143,Private-Non-Profit Corporation,Rural Reporter,2022,,,,81,DR,Demand Response,DO,59,0,,0,,0,,0,,2117431,,2117431,,0,
Tri-Valley Transit Inc,Middlebury,VT,10143,Private-Non-Profit Corporation,Rural Reporter,2022,,,,81,MB,Bus,DO,11,0,,0,,0,,0,,1745426,,1745426,,0,
Tri-Valley Transit Inc,Middlebury,VT,10143,Private-Non-Profit Corporation,Rural Reporter,2022,,,,81,CB,Commuter Bus,DO,11,0,,0,,0,,0,,1648246,,1648246,,0,
Santa Barbara Metropolitan Transit District,Santa Barbara,CA,90020,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,79282,"Santa Barbara, CA",202197,80,MB,Bus,DO,80,15337936,,3645893,,704245,,5421405,,0,,25109479,,0,
Marin County Transit District,San Rafael,CA,90234,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,78904,"San Francisco--Oakland, CA",3515933,80,MB,Bus,PT,59,16310291,,3120839,,360181,,5606744,,0,,25398055,,0,
